Campaign,Clients,Start Date,Price,Spend,Remaining,Sound URL,Status,Tracker,Campaign Started,Send Tracker,Send Final Report,Invoice,Salespeople,Report Notes,Client Notes,Paid Ops?
"DELATO, 7KY & RYA - Lucky You",Bijan M,9/19/2025,$600.00,$245.00,,https://www.dropbox.com/scl/fo/883ylxmmroone62nrzj4d/AAGivvVWytdh7tYFP72xGbM?rlkey=mmaf11pvq9e3qgolpb8fqljr7&st=yaq8dca7&dl=0,Unreleased,,,,,Sent,Jared,,,
Traveler - Stereo Love Remix,Traveler,9/15/2025,$500.00,$350.00,$0.00,https://soundcloud.com/travelermusic/stereo-love,Active,,checked,,,Sent,Jared,,,
Flume - Monsoon,ADA,9/13/2025,$4000.00,$2800.00,,https://www.instagram.com/reels/audio/765948779255300?igsh=aXA0YjE5YnJrNTZ1,Active,https://music.cobrand.com/promote/f42e7211-05c8-4666-9a08-9f90b3a60c41/share?token=bIAk_574jN2PgXURMCKw0Ml1JV76Oz4tm-bK__QdTg8,checked,checked,,Sent,Jared,,"all videos should be set to Monsoon official audio. 

In terms of more traditional assets for ""Did you know Flume dropped an album / etc"" posts: 
- Press Photos
- Shine Glow Glisten MV Cutdowns
- Monsoon Cutdowns (focus track, preferred**) 
Fan Page Links (content is rippable/fair game for anything, let me know if you want me to rip something specific or if you're fine to handle if you wanted to pull something): 
- https://www.tiktok.com/@flumeworld
- https://www.tiktok.com/@fluminati 
Live/Red Rocks footage:
- Still being approved/collated by the label, so let's just make a note to hold on to some pages that may be a good fit so we don't have them all go live before we receive/get greenlight from mgmt that it's okay to move forward without pre-selected footage 
+ regular meme/festival/etc pages we've traditionally run with before posting as they normally would, not necessarily directly related to flume but still using Monsoon 
",
Yung Pooda - Night Talks With God,It's A Ten Records,9/12/2025,$1000.00,$700.00,,https://soundcloud.com/artistinfluence/ntwg-explicit/s-MzRMcQuXHJ7?si=87ed4bd8dfc44c478436f0fe6e5f922b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Active,,,,,Sent,Jared,,https://drive.google.com/drive/folders/1_25zKcmHcGSaOnhEXL6PgmDDntWJCben?usp=drive_link,
TGUT - GTFOTW,TGUT,9/9/2025,$400.00,$340.00,,https://youtu.be/XpXEK4YlENU,Active,,,,,Sent,Jared,,,
"Insomniac - Waymo, Elegibo",Insomniac (Helene),9/9/2025,$700.00,$490.00,$0.00,MULTIPLE (CHECK NOTES),Completed,https://music.cobrand.com/promote/a833ba02-6599-47e7-a63e-675a9753eae8/share?token=8T0X4GMWgDtoHgilIt2ntBFMOkZP4A0z8VEHD5f9jDg,checked,checked,checked,Sent,Jared,,"Honeyluv & Aluna - Waymo
$350
don't need to tag artists
https://www.instagram.com/reels/audio/765175232822343/?igsh=NTc4MTIwNjQ2YQ%3D%3D#Francis Mercier, Margareth Menezes, Relight Orchestra & DJ Andrea - Elegibo
$350
don't need to tag artists
https://www.instagram.com/reels/audio/2497796427262244/?igsh=NTc4MTIwNjQ2YQ%3D%3D#
LATAM DISPLAY 60K VIEWS - https://youtu.be/40_hcuWpo0w?si=7iIAqSAKkDxmKcvP",
Dr3w Lovely - Lemme Be Honest,Dr3w Lovely,8/29/2025,$1000.00,$700.00,$0.00,https://dashboard.vydia.com/d2/share/eyJzIjo3MDM4NjUsInJzIjoiNUNLNmJ3In0,Completed,https://music.cobrand.com/promote/5753e348-e345-4a44-be66-ce0f4808d240/share?token=R4UCOvCjteXSiIcoTlxP39vg78mO_MCdYT2EyHLHcw8,checked,checked,checked,Sent,Jared,Having some pages declining. Working to reallocate for new post right now,,
Bad Bunny - MONACO (proppaganda Remix),PROPPAGANDA,8/26/2025,$500.00,$350.00,$45.00,8/26/2025,Completed,https://music.cobrand.com/promote/29170124-7cd2-4e06-88e2-4dda34c6de7a/share?token=aEodCuj7-mjp8lW6tXugJhNyhHrqy2XGLJ9Z6aISKIE,checked,checked,checked,Sent,Jared/Katt,Having some pages declining. Working to reallocate for new post right now,,
" Jkyl & Hyde, DENNETT- Wastin' My Time",Boom Records LLC,8/15/2025,$750.00,$525.00,$0.00,http://open.spotify.com/track/0JZFXrxFp0YNn6iPR2LF08,Completed,https://music.cobrand.com/promote/4f1d0498-653e-423f-8e90-4e7be8544e60/share?token=3Asc5PQV_iLSMkCwdZui3XBvqBL0NRmJtWM0f7kj2Ks,checked,checked,checked,Sent,Jared/Katt,,"Instagram Seeding, $525 budget — $750 ",
Top Remix (Nash Rly Remix Bootleg Pack),Tonal,7/25/2025,$500.00,$350.00,$0.00,https://soundcloud.com/nash_rly/sets/new-sonics-collection,Completed,https://music.cobrand.com/promote/c6287344-774f-4ca0-bb83-d046bbc85d9b/share?token=WoXtDBPBzFWRYd7PUZwXN2WB9TVva3Mk7-QPCgcv7wE,checked,checked,checked,Paid,Jared,,"in the iNstagram campaign request form, let Phil know in the notes section to pick the song he thinks will perform the best. 

$800 - 32M+ SC repost reach (4 Remixes in Collection) 
$500 - 350 ad spend w/IG Seeding on top remix",
Thomas Xavier (Q3/Q4),Pharaoh Phonix,7/25/2025,$500.00,$350.00,$0.00,https://open.spotify.com/track/67hWh7CkTlBSDqpeNxM8Qf,Completed,https://music.cobrand.com/promote/d0127905-5669-4252-ae1b-8655195ffafa/share?token=be02uoohQiQF2SITbl3SYZWlk9bf6DB_rB7hrQx5h1Y,checked,checked,checked,Sent,Jared,,"Attached Spotify URL for bubonic which is already out. Five singles slated between July 18 and December 7 2025—“Bubonic,” “Luv Dis Lyfe” (feat. Dres), “TBA (Sept 26),” “TBA (Oct 31),” and “TBA (Dec 7)”. For meta ads, will be monthly for instagram growth. Curated placements with ~$350 media spend across up to three singles — $500",
