Campaign,Clients,Service Type,Goal,Remaining,Desired Daily,URL,Start Date,Status,Confirm Start Date?,Ask for Access,Ask Client for YT SS,Views Stalled?,Paid R?,Sale Price,Invoice,Comments,In Fixer?,Client Notes
Crumb Pit & Emilia Ali - I'm 2 Weak (Visualizer),Dim Mak,LATAM Display,25000,,600,https://www.youtube.com/watch?v=yvNTPr50SUc,9/19/2025,Active,,,,,Yes,$150,Pending,,,
Holmesick - OnlyForU,Shalizi Group,WW Display,10000,,700,https://www.youtube.com/watch?v=SAkmVKRj3uw,9/19/2025,Active,,,,,Yes,$100,Pending,,,
Holmesick - OnlyForU,Shalizi Group,WW Skip,10000,,700,https://www.youtube.com/watch?v=SAkmVKRj3uw,9/19/2025,Active,,,,,Yes,$100,Pending,,,
"Luhv - Big Dub Mix, Blessed Beats Vol 1",Luhv,US Skip,10000,,400,https://youtu.be/g49alOIw0fk,9/19/2025,Active,,,,,Yes,$100,Pending,,,
RemK - Autopilot,Shalizi Group,WW Display,10000,,700,https://www.youtube.com/watch?v=gmGoXuRfLBk,9/19/2025,Active,,,,,Yes,$150,Pending,,,
RemK- AutoPilot,Shalizi Group,WW Skip,20000,,600,https://www.youtube.com/watch?v=gmGoXuRfLBk,9/19/2025,Active,,,,,Yes,$150,Pending,,,
Z3LLA - Supernova,Dim Mak,LATAM Display,25000,,500,https://www.youtube.com/watch?v=zbJO4sO_yq0,9/19/2025,Active,,,,,Yes,$150,Pending,,,
Maui Mac - No Fronts,Joseph Saggio,WW Website,10000,,500,https://www.youtube.com/watch?v=hK397eJaVY0,9/17/2025,Complete,,,,,Yes,$50,Pending,,,
Monaco - Bad Bunny (proppaganda remix),PROPPAGANDA,ENGAGEMENTS ONLY,0,0,0,https://www.youtube.com/watch?v=jzxixKNC3cA,9/16/2025,Active,,,,,Yes,,,https://docs.google.com/spreadsheets/d/1TDWim8vuGWYFqFH9983PKyShEslX9Qw8vI6okN4uNyQ/edit?usp=sharing,,
"Le Twins - Need U To Go (Red Light, Green Light) (Official Video)",Dim Mak,WW Skip,50000,50000,5000,https://www.youtube.com/watch?v=hHIbAZ4dnGk,9/12/2025,Complete,,,,,Yes,,Sent,https://docs.google.com/spreadsheets/d/1f-zEmQCBmwdIJmeHZMuS4u6_0dW6F0Q5Y2jM0Hm_-uM/edit?usp=sharing,,
TRICKSTAR - Halfstep (Official Video),Dim Mak,WW Skip,50000,50000,5000,https://www.youtube.com/watch?v=0wLXSmxVu90,9/12/2025,Active,,,,checked,Yes,,Sent,https://docs.google.com/spreadsheets/d/1shcDvqBecL83Bt7YBiNe3merI7nctl3yabhGTe33s80/edit?usp=sharing,,
Yung Pooda - Night Talks With God,It's A Ten Records,WW Skip,1000000,,20000,https://www.youtube.com/watch?v=BVocdiI3aKI,9/12/2025,Active,,,,,Yes,$3000,Sent,https://docs.google.com/spreadsheets/d/17If6P6WLRf0lnm0vi-qRv2fRPI-ur8tT9FbQbnAqqeo/edit?usp=sharing,,
Yung Pooda - Night Talks With God,It's A Ten Records,US Skip,100000,,10000,https://www.youtube.com/watch?v=BVocdiI3aKI,9/12/2025,Active,,,,,Yes,$1300,Sent,https://docs.google.com/spreadsheets/d/17If6P6WLRf0lnm0vi-qRv2fRPI-ur8tT9FbQbnAqqeo/edit?usp=sharing,,
Wale The Sage - No Time,Pick Six Records,WW Display,75000,,5300, https://www.youtube.com/watch?v=iJfONs86e4c,9/11/2025,Active,,,,,Yes,$500,Sent,https://docs.google.com/spreadsheets/d/19tuYUnkDwLvSaEhoMlS_0Vq2EAfwPLYi41GaEkQsfYA/edit?usp=sharing,,
TGUT - GTFOTW,TGUT,US Skip,20000,,5000,https://youtu.be/PxfyYG8EGSs,9/10/2025,Active,,,,,Yes,$260,Sent,https://docs.google.com/spreadsheets/d/1y3AgzV6-xObgRATQpC9sPlwDySaIH63n3bSfSnGG27Y/edit?usp=sharing,,
TGUT - GTFOTW,TGUT,Custom,5000,,500,https://youtu.be/PxfyYG8EGSs,9/10/2025,Active,,,,,Yes,$100,Sent,https://docs.google.com/spreadsheets/d/1y3AgzV6-xObgRATQpC9sPlwDySaIH63n3bSfSnGG27Y/edit?usp=sharing,,
TGUT - GTFOW,TGUT,WW Skip,100000,,7000,https://youtu.be/PxfyYG8EGSs,9/10/2025,Active,,,,,Yes,$280,Sent,https://docs.google.com/spreadsheets/d/1y3AgzV6-xObgRATQpC9sPlwDySaIH63n3bSfSnGG27Y/edit?usp=sharing,,
Odd Mob & OMNOM: HYPERBEAM - System,Insomniac (Helene),LATAM Display,60000,,1500,https://youtu.be/40_hcuWpo0w?si=7iIAqSAKkDxmKcvP,9/9/2025,Active,,,,checked,Yes,$350,Sent,https://docs.google.com/spreadsheets/d/1DTVVEDjBiXVmfho_Y5CJeKZQks8muX9YLhKhCKr3zKo/edit?usp=sharing,,
 Henry Fong - No Letting Go (Visualizer),Dim Mak,LATAM Display,25000,,600,https://www.youtube.com/watch?v=zs1oiUDPC6k,9/5/2025,Active,,,,,Yes,$150,Sent,https://docs.google.com/spreadsheets/d/10UUg4e87N3HdXMPD6MifGMIgR3xeXGgSMKJQfaylI34/edit?gid=1437607487#gid=1437607487,,
CLUB 909 - LIVE @ TIME NIGHTCLUB 2025,CLUB 909,WW Display,10000,,0,https://www.youtube.com/watch?v=2HkmrZgXyz0,9/5/2025,Active,,,,checked,Yes,$50,Sent,https://docs.google.com/spreadsheets/d/1wVhaZnOfQ3lnVqCw107wc-gAMqeA8gt4ha6QRRnTb4k/edit?usp=sharing,,
CLUB 909 - LIVE @ TIME NIGHTCLUB 2025,CLUB 909,WW Skip,10000,,0,https://www.youtube.com/watch?v=2HkmrZgXyz0,9/5/2025,Active,,,,,Yes,$50,Sent,https://docs.google.com/spreadsheets/d/1wVhaZnOfQ3lnVqCw107wc-gAMqeA8gt4ha6QRRnTb4k/edit?usp=sharing,,
Duke & Jones - Sugar Honey,Roda Artists,WW Skip,35000,,400,https://www.youtube.com/watch?v=YIxUVj9Poo4,9/5/2025,Complete,,checked,,,Yes,$100,Sent,https://docs.google.com/spreadsheets/d/1W_xuDTZfZB6C-EkVM7XmFzmZit0gdGaNebOngqrSYaU/edit?usp=sharing,,
JVNA - Aphrodite,Violet Arrow LLC,WW Skip,250000,,1800,https://www.youtube.com/watch?v=FtTpN7Ug6cU&list=RDFtTpN7Ug6cU&start_radio=1&pp=ygUOanZuYSBhcGhyb2RpdGWgBwE%3D,9/5/2025,Active,,,,,Yes,$560,Sent,https://docs.google.com/spreadsheets/d/1GZxXygVcvPjgzM3mq3vudvAILXAGuK-pUdR2htb1LPU/edit?usp=sharing,,
shndō - Anomaly (feat. Poo Bear) (Visualizer),Dim Mak,LATAM Display,25000,,500,https://www.youtube.com/watch?v=PtvIKjzMRYY,9/5/2025,Active,,,,,Yes,$150,Sent,https://docs.google.com/spreadsheets/d/1kjD9HEOHGeKcCdl_6TOMUyutxDXdsyAYhBQMFZlfrsQ/edit?usp=sharing,,
Denzel Curry - Hot One (BLXK MNTN Remix),BLXK MNTN,WW Skip,10000,,400,https://www.youtube.com/watch?v=bJF3sleJRzg,9/3/2025,Active,,,,,Yes,$150,Sent,https://docs.google.com/spreadsheets/d/1Q_qbEZiSR0GbK8V-meBz-cCDWkqWL7nhq38ZKNc6Hpo/edit?usp=sharing,,
