id,campaign,clients,start_date,price,spend,remaining,sound_url,status,tracker,campaign_started,send_tracker,send_final_report,invoice,salespeople,report_notes,client_notes,paid_ops,created_at,updated_at
1,,Bijan M,9/19/2025,$600.00,$245.00,,https://www.dropbox.com/scl/fo/883ylxmmroone62nrzj4d/AAGivvVWytdh7tYFP72xGbM?rlkey=mmaf11pvq9e3qgolpb8fqljr7&st=yaq8dca7&dl=0,Unreleased,,,,,Sent,Jared,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
2,,Traveler,9/15/2025,$500.00,$350.00,$0.00,https://soundcloud.com/travelermusic/stereo-love,Active,,checked,,,Sent,Jared,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
3,,ADA,9/13/2025,$4000.00,$2800.00,,https://www.instagram.com/reels/audio/765948779255300?igsh=aXA0YjE5YnJrNTZ1,Active,https://music.cobrand.com/promote/f42e7211-05c8-4666-9a08-9f90b3a60c41/share?token=bIAk_574jN2PgXURMCKw0Ml1JV76Oz4tm-bK__QdTg8,checked,checked,,Sent,Jared,,all videos should be set to Monsoon official audio.,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
4,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
5,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
6,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
7,,preferred**),,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
8,,let me know if you want me to rip something specific or if you're fine to handle if you wanted to pull something):,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
9,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
10,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
11,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
12,,so let's just make a note to hold on to some pages that may be a good fit so we don't have them all go live before we receive/get greenlight from mgmt that it's okay to move forward without pre-selected footage,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
13,,not necessarily directly related to flume but still using Monsoon,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
14,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
15,,It's A Ten Records,9/12/2025,$1000.00,$700.00,,https://soundcloud.com/artistinfluence/ntwg-explicit/s-MzRMcQuXHJ7?si=87ed4bd8dfc44c478436f0fe6e5f922b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Active,,,,,Sent,Jared,,https://drive.google.com/drive/folders/1_25zKcmHcGSaOnhEXL6PgmDDntWJCben?usp=drive_link,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
16,,TGUT,9/9/2025,$400.00,$340.00,,https://youtu.be/XpXEK4YlENU,Active,,,,,Sent,Jared,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
17,,Insomniac (Helene),9/9/2025,$700.00,$490.00,$0.00,MULTIPLE (CHECK NOTES),Completed,https://music.cobrand.com/promote/a833ba02-6599-47e7-a63e-675a9753eae8/share?token=8T0X4GMWgDtoHgilIt2ntBFMOkZP4A0z8VEHD5f9jDg,checked,checked,checked,Sent,Jared,,Honeyluv & Aluna - Waymo,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
18,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
19,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
20,,Margareth Menezes,Relight Orchestra & DJ Andrea - Elegibo,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
21,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
22,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
23,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
24,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
25,,Dr3w Lovely,8/29/2025,$1000.00,$700.00,$0.00,https://dashboard.vydia.com/d2/share/eyJzIjo3MDM4NjUsInJzIjoiNUNLNmJ3In0,Completed,https://music.cobrand.com/promote/5753e348-e345-4a44-be66-ce0f4808d240/share?token=R4UCOvCjteXSiIcoTlxP39vg78mO_MCdYT2EyHLHcw8,checked,checked,checked,Sent,Jared,Having some pages declining. Working to reallocate for new post right now,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
26,,PROPPAGANDA,8/26/2025,$500.00,$350.00,$45.00,8/26/2025,Completed,https://music.cobrand.com/promote/29170124-7cd2-4e06-88e2-4dda34c6de7a/share?token=aEodCuj7-mjp8lW6tXugJhNyhHrqy2XGLJ9Z6aISKIE,checked,checked,checked,Sent,Jared/Katt,Having some pages declining. Working to reallocate for new post right now,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
27,,Boom Records LLC,8/15/2025,$750.00,$525.00,$0.00,http://open.spotify.com/track/0JZFXrxFp0YNn6iPR2LF08,Completed,https://music.cobrand.com/promote/4f1d0498-653e-423f-8e90-4e7be8544e60/share?token=3Asc5PQV_iLSMkCwdZui3XBvqBL0NRmJtWM0f7kj2Ks,checked,checked,checked,Sent,Jared/Katt,,"Instagram Seeding, $525 budget — $750",,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
28,,Tonal,7/25/2025,$500.00,$350.00,$0.00,https://soundcloud.com/nash_rly/sets/new-sonics-collection,Completed,https://music.cobrand.com/promote/c6287344-774f-4ca0-bb83-d046bbc85d9b/share?token=WoXtDBPBzFWRYd7PUZwXN2WB9TVva3Mk7-QPCgcv7wE,checked,checked,checked,Paid,Jared,,"in the iNstagram campaign request form, let Phil know in the notes section to pick the song he thinks will perform the best.",,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
29,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
