id,campaign,clients,service_type,goal,remaining,desired_daily,url,start_date,status,confirm_start_date,ask_for_access,ask_client_for_yt_ss,views_stalled,paid_r,sale_price,invoice,comments,in_fixer,client_notes,created_at,updated_at
1,,Dim Mak,LATAM Display,25000,,600,https://www.youtube.com/watch?v=yvNTPr50SUc,9/19/2025,Active,,,,,Yes,$150,Pending,,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
2,,Shalizi Group,WW Display,10000,,700,https://www.youtube.com/watch?v=SAkmVKRj3uw,9/19/2025,Active,,,,,Yes,$100,Pending,,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
3,,Shalizi Group,WW Skip,10000,,700,https://www.youtube.com/watch?v=SAkmVKRj3uw,9/19/2025,Active,,,,,Yes,$100,Pending,,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
4,,Luhv,US Skip,10000,,400,https://youtu.be/g49alOIw0fk,9/19/2025,Active,,,,,Yes,$100,Pending,,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
5,,Shalizi Group,WW Display,10000,,700,https://www.youtube.com/watch?v=gmGoXuRfLBk,9/19/2025,Active,,,,,Yes,$150,Pending,,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
6,,Shalizi Group,WW Skip,20000,,600,https://www.youtube.com/watch?v=gmGoXuRfLBk,9/19/2025,Active,,,,,Yes,$150,Pending,,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
7,,Dim Mak,LATAM Display,25000,,500,https://www.youtube.com/watch?v=zbJO4sO_yq0,9/19/2025,Active,,,,,Yes,$150,Pending,,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
8,,Joseph Saggio,WW Website,10000,,500,https://www.youtube.com/watch?v=hK397eJaVY0,9/17/2025,Complete,,,,,Yes,$50,Pending,,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
9,,PROPPAGANDA,ENGAGEMENTS ONLY,0,0,0,https://www.youtube.com/watch?v=jzxixKNC3cA,9/16/2025,Active,,,,,Yes,,,https://docs.google.com/spreadsheets/d/1TDWim8vuGWYFqFH9983PKyShEslX9Qw8vI6okN4uNyQ/edit?usp=sharing,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
10,,Dim Mak,WW Skip,50000,50000,5000,https://www.youtube.com/watch?v=hHIbAZ4dnGk,9/12/2025,Complete,,,,,Yes,,Sent,https://docs.google.com/spreadsheets/d/1f-zEmQCBmwdIJmeHZMuS4u6_0dW6F0Q5Y2jM0Hm_-uM/edit?usp=sharing,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
11,,Dim Mak,WW Skip,50000,50000,5000,https://www.youtube.com/watch?v=0wLXSmxVu90,9/12/2025,Active,,,,checked,Yes,,Sent,https://docs.google.com/spreadsheets/d/1shcDvqBecL83Bt7YBiNe3merI7nctl3yabhGTe33s80/edit?usp=sharing,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
12,,It's A Ten Records,WW Skip,1000000,,20000,https://www.youtube.com/watch?v=BVocdiI3aKI,9/12/2025,Active,,,,,Yes,$3000,Sent,https://docs.google.com/spreadsheets/d/17If6P6WLRf0lnm0vi-qRv2fRPI-ur8tT9FbQbnAqqeo/edit?usp=sharing,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
13,,It's A Ten Records,US Skip,100000,,10000,https://www.youtube.com/watch?v=BVocdiI3aKI,9/12/2025,Active,,,,,Yes,$1300,Sent,https://docs.google.com/spreadsheets/d/17If6P6WLRf0lnm0vi-qRv2fRPI-ur8tT9FbQbnAqqeo/edit?usp=sharing,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
14,,Pick Six Records,WW Display,75000,,5300,https://www.youtube.com/watch?v=iJfONs86e4c,9/11/2025,Active,,,,,Yes,$500,Sent,https://docs.google.com/spreadsheets/d/19tuYUnkDwLvSaEhoMlS_0Vq2EAfwPLYi41GaEkQsfYA/edit?usp=sharing,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
15,,TGUT,US Skip,20000,,5000,https://youtu.be/PxfyYG8EGSs,9/10/2025,Active,,,,,Yes,$260,Sent,https://docs.google.com/spreadsheets/d/1y3AgzV6-xObgRATQpC9sPlwDySaIH63n3bSfSnGG27Y/edit?usp=sharing,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
16,,TGUT,Custom,5000,,500,https://youtu.be/PxfyYG8EGSs,9/10/2025,Active,,,,,Yes,$100,Sent,https://docs.google.com/spreadsheets/d/1y3AgzV6-xObgRATQpC9sPlwDySaIH63n3bSfSnGG27Y/edit?usp=sharing,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
17,,TGUT,WW Skip,100000,,7000,https://youtu.be/PxfyYG8EGSs,9/10/2025,Active,,,,,Yes,$280,Sent,https://docs.google.com/spreadsheets/d/1y3AgzV6-xObgRATQpC9sPlwDySaIH63n3bSfSnGG27Y/edit?usp=sharing,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
18,,Insomniac (Helene),LATAM Display,60000,,1500,https://youtu.be/40_hcuWpo0w?si=7iIAqSAKkDxmKcvP,9/9/2025,Active,,,,checked,Yes,$350,Sent,https://docs.google.com/spreadsheets/d/1DTVVEDjBiXVmfho_Y5CJeKZQks8muX9YLhKhCKr3zKo/edit?usp=sharing,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
19,,Dim Mak,LATAM Display,25000,,600,https://www.youtube.com/watch?v=zs1oiUDPC6k,9/5/2025,Active,,,,,Yes,$150,Sent,https://docs.google.com/spreadsheets/d/10UUg4e87N3HdXMPD6MifGMIgR3xeXGgSMKJQfaylI34/edit?gid=1437607487#gid=1437607487,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
20,,CLUB 909,WW Display,10000,,0,https://www.youtube.com/watch?v=2HkmrZgXyz0,9/5/2025,Active,,,,checked,Yes,$50,Sent,https://docs.google.com/spreadsheets/d/1wVhaZnOfQ3lnVqCw107wc-gAMqeA8gt4ha6QRRnTb4k/edit?usp=sharing,,,2025-09-23T21:39:18.885697+00:00,2025-09-23T21:39:18.885697+00:00
