client_name,campaign_name,goal,remaining,daily,weekly,url,sale_price,start_date,status,vendor,curator_status,playlists,notes,last_modified,sp_vendor_updates,spotify_campaign
"Reece Rosé","Reece Rosé - Back Back",50000,0,0,0,"https://soundcloud.com/djreecerose/reece-rose-back-back/s-PdzbyksDCHM?si=b2d03e5cbb4e4d76a2b204618a0fc547&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"10/9/2025","Active","Club Restricted","","","","","",""
"Reece Rosé","Reece Rosé - Everything I Need",50000,0,0,0,"https://soundcloud.com/djreecerose/everything-i-need-radio-edit/s-xSJcEmbhdhD?si=83c6fdcd466c48efa4a090cdf5bc9834&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"9/25/2025","Pending","Club Restricted","","","","","",""
"Charcom","Charcom - I'll Be There",20000,0,0,0,"https://soundcloud.com/charcom16/ill-be-there-radio-edit/s-eCjBnZkKysn?si=60476f6ecb0546e29ba391d71194c3dd&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"9/26/2025","Active","Club Restricted","","","","","",""
"8BLADES","8Blades - Throw The Dice",10000,0,0,0,"https://soundcloud.com/8blades/throw-the-dice/s-GKOhNk1wgw2?si=bb753b9d6a2b4794be10dca380d49616&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"9/22/2025","Unreleased","Golden Nugget","","","","","",""
"Dim Mak","Crumb Pit & Emilia Ali - I'm 2 Weak",12000,0,0,0,"https://dimmak.box.com/s/jig4vtv6q99embtok16grr67y7ntajc2",0,"9/19/2025","Active","Club Restricted","","","","","",""
"Dim Mak","Thomas Gold - Set Me Free",5000,5000,0,0,"https://open.spotify.com/track/0Or3Fgzkwg05zx0X83BG9V",0,"8/1/2025","Active","Alekk","Accepted","- IBIZA TECHNO HOUSE 2025","","7/31/2025 5:47pm","",""
"Dim Mak","GONE ASTRAY, WHOISJAYE - Make Believe",15000,15000,0,0,"https://open.spotify.com/track/2PWg2jPoQNlusbXZkGsMVg",0,"7/11/2025","Active","Glenn","Accepted","- Electronica Vieja Exitos [NEW]","","7/11/2025 2:36pm","",""
"Dim Mak","Z3LLA - Pick Up The Tempo",17000,17000,0,0,"https://open.spotify.com/track/67gU1a7O4sc7V1yhMVtFTn",0,"7/11/2025","Active","Glenn","Accepted","- RAVE PARTY 2025 [NEW]","","7/11/2025 2:33pm","",""
"Dim Mak","Mike Posner - Cooler Than Me (Getter Remix)",5000,5000,0,0,"https://open.spotify.com/track/5p5dBk013zqQqZXwyFStEX",0,"5/30/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","5/30/2025 2:42pm","",""
"Afterparty","Bar Fight - AfterParty x Rvnbaek",10000,0,0,0,"https://open.spotify.com/album/4GyVUHWFaNMzgYDNAnqB4k",0,"9/19/2025","Active","Golden Nugget","","","","","",""
"Afterparty","Afterparty - The Call",10000,-225,70,420,"https://open.spotify.com/track/1aPyG6lCqudIIHqbHyP7mg?si=mZsY3W7kTKWrijZgkn_2Og",0,"2/12/2025","Complete","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","6/5/2025 2:49am","",""
"Bijan M","DELATO, 7KY & RYA - Lucky You",10000,0,0,0,"https://www.dropbox.com/scl/fo/883ylxmmroone62nrzj4d/AAGivvVWytdh7tYFP72xGbM?rlkey=mmaf11pvq9e3qgolpb8fqljr7&st=yaq8dca7&dl=0",0,"9/19/2025","Unreleased","Club Restricted","","","","","",""
"Bijan M","DELATO, 7KY & RYA - Lucky You",10000,0,0,0,"https://www.dropbox.com/scl/fo/883ylxmmroone62nrzj4d/AAGivvVWytdh7tYFP72xGbM?rlkey=mmaf11pvq9e3qgolpb8fqljr7&st=yaq8dca7&dl=0",0,"9/10/2025","Active","House Views","","","","","",""
"Shalizi Group","SCRIPT - Mr. Rager",50000,0,0,0,"https://open.spotify.com/track/1iju7dFpAesm5dhNkUAt6g?si=cbfa86022a734c7e",0,"9/19/2025","Active","Club Restricted","","","","","",""
"Shalizi Group","SCRIPT - Mr. Rager",50000,0,0,0,"https://open.spotify.com/track/1iju7dFpAesm5dhNkUAt6g?si=cbfa86022a734c7e",0,"9/19/2025","Active","Glenn","","","","","",""
"Segan","Segan - Tempo",25000,0,0,0,"https://on.soundcloud.com/MCQsBFq3hhckMj4gg3",0,"9/19/2025","Unreleased","Club Restricted","","","","","",""
"Segan","Segan - DNBMF",35000,23011,494,2816,"https://open.spotify.com/track/0LfS8z5VUqkD9WlMLOZskY",0,"8/8/2025","Active","Club Restricted","Accepted","- GYM - TEMAZOS MOTIVACION 2025 [NEW]","Drum and Bass PLEASE","9/18/2025 2:14pm","",""
"Star Williams + PatrickReza","Star Williams - Stupid Love",18000,0,0,0,"https://open.spotify.com/track/6JbtlDvL2re3cHO1o9eaNC",0,"9/19/2025","Active","Glenn","","","","","",""
"Star Williams + PatrickReza","Star Williams - Stupid Love",20000,0,0,0,"https://soundcloud.com/patrickreza/stupidlove/s-OxJ5u4yXuE3",0,"9/19/2025","Active","Club Restricted","","","","","",""
"Star Williams + PatrickReza","Star Williams - Stupid Love",20000,0,0,0,"https://soundcloud.com/patrickreza/stupidlove/s-OxJ5u4yXuE3",0,"9/19/2025","Pending","Club Restricted","","","","","",""
